strain	accession	clade	description
PP901949.1	PP901949.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CN/XJWJQ/01 spike protein (S) gene, partial cds
PP901950.1	PP901950.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CN/XJWJQ/02 spike protein (S) gene, partial cds
PP901951.1	PP901951.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CN/XJZS spike protein (S) gene, partial cds
PP901952.1	PP901952.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CN/YNYX spike protein (S) gene, partial cds
PP906225.1	PP906225.1	G2c	Porcine epidemic diarrhea virus strain GD-QY spike protein gene, complete cds
PP906226.1	PP906226.1	G2c	Porcine epidemic diarrhea virus strain GD-CZ spike protein gene, complete cds
PP906227.1	PP906227.1	G2c	Porcine epidemic diarrhea virus strain GD-ZQ spike protein gene, complete cds
PP906230.1	PP906230.1	G2c	Porcine epidemic diarrhea virus strain HLJ-CY spike protein gene, complete cds
PP911340.1	PP911340.1	G2c	Porcine epidemic diarrhea virus isolate CH-SXXY-2024, partial genome
PP923930.1	PP923930.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus strain PEDV/swine/YN-SM-1508/China/2015/Yunnan spike protein-like gene, partial sequence
PP923936.1	PP923936.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus strain PEDV/swine/YN-KM-1705/China/2017/Yunnan spike protein-like gene, partial sequence
PP923937.1	PP923937.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus strain PEDV/swine/YN-KM-1706/China/2017/Yunnan spike protein-like gene, partial sequence
PP923940.1	PP923940.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus strain PEDV/swine/YN-BS-1912/China/2019/Yunnan spike protein-like gene, partial sequence
PP923949.1	PP923949.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus strain PEDV/swine/YN-WD-22062/China/2022/Yunnan spike protein-like gene, partial sequence
PP923950.1	PP923950.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus strain PEDV/swine/YN-YM-2206/China/2022/Yunnan spike protein-like gene, partial sequence
PP923951.1	PP923951.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus strain PEDV/swine/YN-YM-22061/China/2022/Yunnan spike protein-like gene, partial sequence
PP958821.1	PP958821.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-SD/2020, complete genome
PP987385.1	PP987385.1	G2c	Porcine epidemic diarrhea virus isolate VRL 27-Apr-2023, complete genome
PP999774.1	PP999774.1	G2c	Porcine epidemic diarrhea virus isolate LZ202401, complete genome
PQ014389.1	PQ014389.1	G2c	Porcine epidemic diarrhea virus strain CH-JX-2024, complete genome
PQ119498.1	PQ119498.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/QD/2024 spike protein (S) gene, complete cds
PQ123997.1	PQ123997.1	G2c	Porcine epidemic diarrhea virus strain SCABTC-PEDV-CY S protein gene, complete cds
PQ123998.1	PQ123998.1	G2c	Porcine epidemic diarrhea virus strain SCABTC-PEDV-DK S protein gene, complete cds
PQ124001.1	PQ124001.1	G2c	Porcine epidemic diarrhea virus strain SCABTC-PEDV-HT S protein gene, complete cds
PQ124002.1	PQ124002.1	G2c	Porcine epidemic diarrhea virus strain SCABTC-PEDV-JC S protein gene, complete cds
PQ124003.1	PQ124003.1	G2c	Porcine epidemic diarrhea virus strain SCABTC-PEDV-JL S protein gene, complete cds
PQ124004.1	PQ124004.1	G2c	Porcine epidemic diarrhea virus strain SCABTC-PEDV-M6 S protein gene, complete cds
PQ124005.1	PQ124005.1	G2c	Porcine epidemic diarrhea virus strain SCABTC-PEDV-M7 S protein gene, complete cds
PQ124006.1	PQ124006.1	G2c	Porcine epidemic diarrhea virus strain SCABTC-PEDV-M8 S protein gene, complete cds
PQ124008.1	PQ124008.1	G2c	Porcine epidemic diarrhea virus strain SCABTC-PEDV-SL S protein gene, complete cds
PQ124009.1	PQ124009.1	G2c	Porcine epidemic diarrhea virus strain SCABTC-PEDV-T S protein gene, complete cds
PQ124010.1	PQ124010.1	G2c	Porcine epidemic diarrhea virus strain SCABTC-PEDV-XN S protein gene, complete cds
PQ124011.1	PQ124011.1	G2c	Porcine epidemic diarrhea virus strain SCABTC-PEDV-ZY S protein gene, complete cds
PQ124012.1	PQ124012.1	G2c	Porcine epidemic diarrhea virus strain SCABTC-PEDV-ZYC S protein gene, complete cds
PQ179480.1	PQ179480.1	G2c	Porcine epidemic diarrhea virus strain SX0818-2022, complete genome
PQ284566.1	PQ284566.1	G2c	Porcine epidemic diarrhea virus isolate CH-HNF1-2023 spike protein (S) gene, complete cds
PQ284567.1	PQ284567.1	G2c	Porcine epidemic diarrhea virus isolate CH-HNF3-2023 spike protein (S) gene, complete cds
PQ284573.1	PQ284573.1	G2c	Porcine epidemic diarrhea virus isolate CH-SX3-2023 spike protein (S) gene, complete cds
PQ316088.1	PQ316088.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNDZ/2022, complete genome
PQ316090.1	PQ316090.1	G2c	Porcine epidemic diarrhea virus isolate CH/GDJM2023, complete genome
PQ316091.1	PQ316091.1	G2c	Porcine epidemic diarrhea virus isolate CH/HBJL2023, complete genome
PQ316092.1	PQ316092.1	G2c	Porcine epidemic diarrhea virus isolate CH/ShXXY2-2023, complete genome
PQ349477.1	PQ349477.1	G2c	Porcine epidemic diarrhea virus isolate HN-YZ spike protein gene, complete cds
PQ349478.1	PQ349478.1	G2c	Porcine epidemic diarrhea virus isolate SN-WN spike protein gene, complete cds
PQ349479.1	PQ349479.1	G2c	Porcine epidemic diarrhea virus isolate GZ-QN spike protein gene, complete cds
PQ349480.1	PQ349480.1	G2c	Porcine epidemic diarrhea virus isolate YN-DL spike protein gene, complete cds
PQ507869.1	PQ507869.1	G2c	Porcine epidemic diarrhea virus isolate SC/CD/2024 spike protein gene, complete cds
PQ507870.1	PQ507870.1	G2c	Porcine epidemic diarrhea virus isolate SC/MY/2023 spike protein gene, complete cds
PQ507871.1	PQ507871.1	G2c	Porcine epidemic diarrhea virus isolate SC/SN/2023 spike protein gene, complete cds
PQ507872.1	PQ507872.1	G2c	Porcine epidemic diarrhea virus isolate SC/LS/2023 spike protein gene, complete cds
PQ631046.1	PQ631046.1	G2c	Porcine epidemic diarrhea virus isolate PEDV HLJHG, complete genome
PQ642131.1	PQ642131.1	G2c	Porcine epidemic diarrhea virus isolate GD1S spike protein (S) gene, complete cds
PQ682538.1	PQ682538.1	G2c	Porcine epidemic diarrhea virus strain AHCZ02, complete genome
PQ846960.1	PQ846960.1	G2c	Porcine epidemic diarrhea virus isolate GZ/2024, complete genome
PQ870875.1	PQ870875.1	G2c	Porcine epidemic diarrhea virus strain SC-JG spike protein gene, complete cds
PQ870876.1	PQ870876.1	G2c	Porcine epidemic diarrhea virus strain YN-QJ spike protein gene, complete cds
PQ870877.1	PQ870877.1	G2c	Porcine epidemic diarrhea virus strain FJ-NP spike protein gene, complete cds
PV036764.1	PV036764.1	G2c	Porcine epidemic diarrhea virus isolate HLJ10, complete genome
PV036765.1	PV036765.1	G2c	Porcine epidemic diarrhea virus isolate HLJ8, complete genome
PV036767.1	PV036767.1	G2c	Porcine epidemic diarrhea virus isolate HLJ6, complete genome
PV036768.1	PV036768.1	G2c	Porcine epidemic diarrhea virus isolate SSX1, complete genome
PV036772.1	PV036772.1	G2c	Porcine epidemic diarrhea virus isolate SSX1-1, complete genome
PV036773.1	PV036773.1	G2c	Porcine epidemic diarrhea virus isolate HB1, complete genome
PV036776.1	PV036776.1	G2c	Porcine epidemic diarrhea virus isolate HB4, complete genome
PV036777.1	PV036777.1	G2c	Porcine epidemic diarrhea virus isolate HB5, complete genome
PV036778.1	PV036778.1	G2c	Porcine epidemic diarrhea virus isolate HLJ13, complete genome
PV036779.1	PV036779.1	G2c	Porcine epidemic diarrhea virus isolate HLJ14, complete genome
PV036780.1	PV036780.1	G2c	Porcine epidemic diarrhea virus isolate HLJ11, complete genome
PV036781.1	PV036781.1	G2c	Porcine epidemic diarrhea virus isolate HB6, complete genome
PV098397.1	PV098397.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-BJ-2023, complete genome
PV098398.1	PV098398.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-ZY-2023, complete genome
PV107499.1	PV107499.1	G2c	Porcine epidemic diarrhea virus isolate EHuB4_2021_Swine_HB, complete genome
PV125746.1	PV125746.1	G2c	Porcine epidemic diarrhea virus isolate 23GXNN-1, complete genome
PV146387.1	PV146387.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CHN/SW26/2022 S protein (S) gene, partial cds
PV146388.1	PV146388.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CHN/SW27/2022 S protein (S) gene, partial cds
PV146389.1	PV146389.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CHN/SW28/2022 S protein (S) gene, partial cds
PV146390.1	PV146390.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CHN/SW29/2022 S protein (S) gene, partial cds
PV146391.1	PV146391.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CHN/SW30/2023 S protein (S) gene, partial cds
PV146392.1	PV146392.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CHN/SW31/2023 S protein (S) gene, partial cds
PV146393.1	PV146393.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CHN/SW32/2023 S protein (S) gene, partial cds
PV146394.1	PV146394.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CHN/SW33/2023 S protein (S) gene, partial cds
PV146398.1	PV146398.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CHN/SW15/2024 S protein (S) gene, partial cds
PV146399.1	PV146399.1	G2c	Porcine epidemic diarrhea virus isolate PEDV/CHN/SW37/2024 S protein (S) gene, partial cds
PV146401.1	PV146401.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus isolate PEDV-CHN-SW37-2024, partial genome
PV164718.1	PV164718.1	G2c	Porcine epidemic diarrhea virus isolate PEDV HN22HN1101 spike protein (S) gene, complete cds
PV164719.1	PV164719.1	G2c	Porcine epidemic diarrhea virus isolate PEDV JS22SQ0301-02 spike protein (S) gene, complete cds
PV164723.1	PV164723.1	G2c	Porcine epidemic diarrhea virus isolate PEDV YN23YN0501-01 spike protein (S) gene, complete cds
PV164724.1	PV164724.1	G2c	Porcine epidemic diarrhea virus isolate PEDV ZJ23HZ0201 spike protein (S) gene, complete cds
PV164725.1	PV164725.1	G2c	Porcine epidemic diarrhea virus isolate PEDV ZJ23HZ0401-01 spike protein (S) gene, complete cds
PV164726.1	PV164726.1	G2c	Porcine epidemic diarrhea virus isolate PEDV ZJ23LS0201-02 spike protein (S) gene, complete cds
PV164730.1	PV164730.1	G2c	Porcine epidemic diarrhea virus isolate PEDV AH24AH0501-01 spike protein (S) gene, complete cds
PV164731.1	PV164731.1	G2c	Porcine epidemic diarrhea virus isolate PEDV HN24HN0401 spike protein (S) gene, complete cds
PV164732.1	PV164732.1	G2c	Porcine epidemic diarrhea virus isolate PEDV SX24SX0701-04 spike protein (S) gene, complete cds
PV164733.1	PV164733.1	G2c	Porcine epidemic diarrhea virus isolate PEDV ZJ24LS0201 spike protein (S) gene, complete cds
PV164735.1	PV164735.1	G2c	Porcine epidemic diarrhea virus isolate PEDV ZJ24NB0401 spike protein (S) gene, complete cds
PV235412.1	PV235412.1	G2c	UNVERIFIED: Porcine epidemic diarrhea virus isolate 2024-GXYL sequence
PV235413.1	PV235413.1	G2c	Porcine epidemic diarrhea virus isolate 2024-JXNC spike (S) gene, complete cds
PV235414.1	PV235414.1	G2c	Porcine epidemic diarrhea virus isolate 2024-JXYX spike (S) gene, complete cds
PV235415.1	PV235415.1	G2c	Porcine epidemic diarrhea virus isolate 2021-HBMC spike (S) gene, complete cds
PV250054.1	PV250054.1	G2c	Porcine epidemic diarrhea virus isolate 23GXGL-1 spike protein (S) gene, complete cds
PV250055.1	PV250055.1	G2c	Porcine epidemic diarrhea virus isolate 23GXGL-2 spike protein (S) gene, complete cds
PV389918.1	PV389918.1	G2c	Porcine epidemic diarrhea virus isolate GD-QY spike protein gene, complete cds
PV389919.1	PV389919.1	G2c	Porcine epidemic diarrhea virus isolate HB2024, partial genome
PV394113.1	PV394113.1	G2c	Porcine epidemic diarrhea virus isolate 23GXNN-2 spike protein (S) gene, complete cds
PV394114.1	PV394114.1	G2c	Porcine epidemic diarrhea virus isolate 24GXNN-1 spike protein (S) gene, complete cds
PV409558.1	PV409558.1	G2c	Porcine epidemic diarrhea virus isolate SXHZ/2019 spike protein gene, complete cds
PV409559.1	PV409559.1	G2c	Porcine epidemic diarrhea virus isolate CH/GSLZ spike protein gene, complete cds
PV409560.1	PV409560.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNAY spike protein gene, complete cds
PV409561.1	PV409561.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNJZ spike protein gene, complete cds
PV409562.1	PV409562.1	G2c	Porcine epidemic diarrhea virus isolate CH/SXAK spike protein gene, complete cds
PV409563.1	PV409563.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNLY/2021 spike protein gene, complete cds
PV409564.1	PV409564.1	G2c	Porcine epidemic diarrhea virus isolate CH/SXJC spike protein gene, complete cds
PV409565.1	PV409565.1	G2c	Porcine epidemic diarrhea virus isolate SXYC/2021 spike protein gene, complete cds
PV409566.1	PV409566.1	G2c	Porcine epidemic diarrhea virus isolate CH/SXTC spike protein gene, complete cds
PV409567.1	PV409567.1	G2c	Porcine epidemic diarrhea virus isolate CH/HNXC spike protein gene, complete cds
PV409568.1	PV409568.1	G2c	Porcine epidemic diarrhea virus isolate SXBJ/2022 spike protein gene, complete cds
PV464256.1	PV464256.1	G2c	Porcine epidemic diarrhea virus isolate CH-HNZZ-2023, complete genome
PV523957.1	PV523957.1	G2c	Porcine epidemic diarrhea virus isolate AH01-01-CN_2023 spike protein (S) gene, complete cds
PV523958.1	PV523958.1	G2c	Porcine epidemic diarrhea virus isolate AH01-02-CN_2024 spike protein (S) gene, complete cds
PV523959.1	PV523959.1	G2c	Porcine epidemic diarrhea virus isolate AH01-03-CN_2022 spike protein (S) gene, complete cds
PV523960.1	PV523960.1	G2c	Porcine epidemic diarrhea virus isolate AH02-01-CN_2023 spike protein (S) gene, complete cds
PV523961.1	PV523961.1	G2c	Porcine epidemic diarrhea virus isolate AH02-03-CN_2022 spike protein (S) gene, complete cds
PV523962.1	PV523962.1	G2c	Porcine epidemic diarrhea virus isolate AH03-08-CN_2024 spike protein (S) gene, complete cds
PV523963.1	PV523963.1	G2c	Porcine epidemic diarrhea virus isolate AH03-11-CN_2021 spike protein (S) gene, complete cds
PV523964.1	PV523964.1	G2c	Porcine epidemic diarrhea virus isolate AH03-11-CN_2023 spike protein (S) gene, complete cds
PV523965.1	PV523965.1	G2c	Porcine epidemic diarrhea virus isolate AH04-09-CN_2024 spike protein (S) gene, complete cds
PV523966.1	PV523966.1	G2c	Porcine epidemic diarrhea virus isolate AH04-12-CN_2023 spike protein (S) gene, complete cds
PV523967.1	PV523967.1	G2c	Porcine epidemic diarrhea virus isolate AH05-03-CN_2023 spike protein (S) gene, complete cds
PV523968.1	PV523968.1	G2c	Porcine epidemic diarrhea virus isolate AH05-11-CN_2024 spike protein (S) gene, complete cds
PV523969.1	PV523969.1	G2c	Porcine epidemic diarrhea virus isolate AH06-11-CN_2024 spike protein (S) gene, complete cds
PV523970.1	PV523970.1	G2c	Porcine epidemic diarrhea virus isolate AH07-12-CN_2024 spike protein (S) gene, complete cds
PV523971.1	PV523971.1	G2c	Porcine epidemic diarrhea virus isolate AH09-12-CN_2024 spike protein (S) gene, complete cds
PV523972.1	PV523972.1	G2c	Porcine epidemic diarrhea virus isolate GX01-01-CN_2023 spike protein (S) gene, complete cds
PV523973.1	PV523973.1	G2c	Porcine epidemic diarrhea virus isolate GX01-04-CN_2021 spike protein (S) gene, complete cds
PV523974.1	PV523974.1	G2c	Porcine epidemic diarrhea virus isolate GX01-03-CN_2024 spike protein (S) gene, complete cds
PV523975.1	PV523975.1	G2c	Porcine epidemic diarrhea virus isolate GX02-04-CN_2024 spike protein (S) gene, complete cds
PV523976.1	PV523976.1	G2c	Porcine epidemic diarrhea virus isolate GX02-09-CN_2021 spike protein (S) gene, complete cds
PV523977.1	PV523977.1	G2c	Porcine epidemic diarrhea virus isolate GX02-09-CN_2023 spike protein (S) gene, complete cds
PV523978.1	PV523978.1	G2c	Porcine epidemic diarrhea virus isolate GX03-09-CN_2021 spike protein (S) gene, complete cds
PV523979.1	PV523979.1	G2c	Porcine epidemic diarrhea virus isolate GX04-12-CN_2024 spike protein (S) gene, complete cds
PV523980.1	PV523980.1	G2c	Porcine epidemic diarrhea virus isolate GX07-11-CN_2021 spike protein (S) gene, complete cds
PV523981.1	PV523981.1	G2c	Porcine epidemic diarrhea virus isolate HLJ01-07-CN_2024 spike protein (S) gene, complete cds
PV523982.1	PV523982.1	G2c	Porcine epidemic diarrhea virus isolate HuB01-01-CN_2021 spike protein (S) gene, complete cds
PV523983.1	PV523983.1	G2c	Porcine epidemic diarrhea virus isolate HuB02-03-CN_2021 spike protein (S) gene, complete cds
PV523984.1	PV523984.1	G2c	Porcine epidemic diarrhea virus isolate JS01-01-CN_2023 spike protein (S) gene, complete cds
PV523985.1	PV523985.1	G2c	Porcine epidemic diarrhea virus isolate JS01-03-CN_2022 spike protein (S) gene, complete cds
PV523986.1	PV523986.1	G2c	Porcine epidemic diarrhea virus isolate JS01-05-CN_2024 spike protein (S) gene, complete cds
PV523987.1	PV523987.1	G2c	Porcine epidemic diarrhea virus isolate JS02-01-CN_2023 spike protein (S) gene, complete cds
PV523988.1	PV523988.1	G2c	Porcine epidemic diarrhea virus isolate JS02-03-CN_2022 spike protein (S) gene, complete cds
PV523989.1	PV523989.1	G2c	Porcine epidemic diarrhea virus isolate JS02-10-CN_2024 spike protein (S) gene, complete cds
PV523990.1	PV523990.1	G2c	Porcine epidemic diarrhea virus isolate SD01-06-CN_2024 spike protein (S) gene, complete cds
PV523991.1	PV523991.1	G2c	Porcine epidemic diarrhea virus isolate SD01-07-CN_2021 spike protein (S) gene, complete cds
PV523992.1	PV523992.1	G2c	Porcine epidemic diarrhea virus isolate SD02-11-CN_2024 spike protein (S) gene, complete cds
PV523993.1	PV523993.1	G2c	Porcine epidemic diarrhea virus isolate SD03-12-CN_2024 spike protein (S) gene, complete cds
PV523994.1	PV523994.1	G2c	Porcine epidemic diarrhea virus isolate SD05-12-CN_2022 spike protein (S) gene, complete cds
PV523995.1	PV523995.1	G2c	Porcine epidemic diarrhea virus isolate SD06-12-CN_2022 spike protein (S) gene, complete cds
PV523996.1	PV523996.1	G2c	Porcine epidemic diarrhea virus isolate SX02-11-CN_2023 spike protein (S) gene, complete cds
PV523997.1	PV523997.1	G2c	Porcine epidemic diarrhea virus isolate SX01-04-CN_2022 spike protein (S) gene, complete cds
PV523998.1	PV523998.1	G2c	Porcine epidemic diarrhea virus isolate SX01-11-CN_2023 spike protein (S) gene, complete cds
PV523999.1	PV523999.1	G2c	Porcine epidemic diarrhea virus isolate ZJ02-01-CN_2022 spike protein (S) gene, complete cds
PV524000.1	PV524000.1	G2c	Porcine epidemic diarrhea virus isolate ZJ03-01-CN_2022 spike protein (S) gene, complete cds
PV524001.1	PV524001.1	G2c	Porcine epidemic diarrhea virus isolate ZJ05-06-CN_2022 spike protein (S) gene, complete cds
PV524002.1	PV524002.1	G2c	Porcine epidemic diarrhea virus isolate ZJ06-08-CN_2022 spike protein (S) gene, complete cds
PV524003.1	PV524003.1	G2c	Porcine epidemic diarrhea virus isolate ZJ09-12-CN_2022 spike protein (S) gene, complete cds
PV536060.1	PV536060.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-AHCD1-2023, partial genome
PV536061.1	PV536061.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-AHCD5-2023, partial genome
PV536062.1	PV536062.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-AHFW5-2023, partial genome
PV536063.1	PV536063.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-AHHJ13-2023, partial genome
PV536064.1	PV536064.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-AHHJ17-2023, partial genome
PV536065.1	PV536065.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-AHHJ19-2023, partial genome
PV536067.1	PV536067.1	G2c	Porcine epidemic diarrhea virus isolate PEDV-AHHT10-2023, partial genome
